,GRADE,temp,dew,humidity,precip,Year,Month,Week,Holiday,Actual Quantity,Predicted Quantity
0,Choice Domestic,19.03333333,7.016666667,48.75,0.424166667,2020,10,43,0,3665,4561
1,Choice Domestic,18.74285714,8.385714286,55.47142857,0.28,2020,11,44,0,3656,6251
2,Choice Domestic,18.78571429,12.24285714,67.85714286,1.072142857,2020,11,45,0,7126,9446
3,Choice Domestic,15.32857143,6.757142857,59,0.01,2020,11,46,0,7095,9075
4,Choice Domestic,16.62857143,10.42857143,69.57142857,0,2020,11,47,0,15525,14576
5,Choice Domestic,15.1,6,59.07142857,0,2020,11,48,0,3209,4016
6,Choice Domestic,14.35714286,0.928571429,43.84285714,0,2020,12,49,0,2816,2987
7,Choice Domestic,14.65714286,6.628571429,61.88571429,0,2020,12,50,0,15096,15176
8,Choice Domestic,13.82857143,6.128571429,63.67142857,0.1,2020,12,51,0,14413,14125
9,Choice Domestic,14.6,6.2,61.25714286,0,2020,12,52,0,9975,11546
10,Choice Domestic,12.77142857,7.814285714,74.78571429,0,2021,1,1,0,10828,12421
11,Choice Domestic,16.14285714,2.585714286,44.02857143,0,2021,1,2,0,14243,15011
12,Choice Domestic,15.41428571,7.885714286,63.78571429,2,2021,1,3,0,21895,23444
13,Choice Domestic,12.51428571,5.171428571,62.7,4.493428571,2021,1,4,0,29582,28258
14,Choice Domestic,14.78571429,9.714285714,72.75714286,0,2021,2,5,0,30460,31996
15,Choice Domestic,14.41428571,8.971428571,70.4,0.152571429,2021,2,6,0,34873,35766
16,Choice Domestic,14.48571429,5.885714286,60.45714286,0.223428571,2021,2,7,0,36472,34936
17,Choice Domestic,15.44285714,5.057142857,55.05714286,0,2021,2,8,0,38612,37463
18,Choice Domestic,14.64285714,6.3,62.14285714,2.315142857,2021,3,9,0,35881,33577
19,Choice Domestic,13.77142857,7.028571429,64.34285714,2.34,2021,3,10,0,27681,28971
20,Choice Domestic,13.8,7.557142857,66.8,0.628857143,2021,3,11,0,33395,32677
21,Choice Domestic,15.28571429,7.714285714,62.57142857,0.224714286,2021,3,12,0,37468,32869
22,Choice Domestic,17.84285714,8.428571429,61.21428571,0,2021,4,13,0,75979,72198
23,Choice Domestic,16.81428571,11.5,71.22857143,0,2021,4,14,0,45840,43557
24,Choice Domestic,16.5,8.985714286,62.18571429,0,2021,4,15,0,29590,33615
25,Choice Domestic,16.48571429,9.657142857,64.82857143,0.06,2021,4,16,0,45651,42616
26,Choice Domestic,17.65714286,10.01428571,62.48571429,0.214714286,2021,5,17,0,29326,27915
27,Choice Domestic,17.62857143,11.77142857,68.95714286,0,2021,5,18,0,42749,37576
28,Choice Domestic,17.55714286,11.57142857,68.11428571,0.16,2021,5,19,0,58994,47421
29,Choice Domestic,17.04285714,10.67142857,66.44285714,0.07,2021,5,20,0,21571,19390
30,Choice Domestic,17.84285714,12.08571429,69.32857143,0,2021,5,21,0,22533,20024
31,Choice Domestic,18.08571429,12.75714286,71.25714286,0,2021,6,22,0,25456,23711
32,Choice Domestic,18.81428571,12.41428571,67.01,0,2021,6,23,0,19082,17504
33,Choice Domestic,19.98571429,15.48571429,75.88571429,0,2021,6,24,0,26736,24721
34,Choice Domestic,20.07142857,14.87142857,72.25714286,0.05,2021,6,25,0,23618,22205
35,Choice Domestic,20.24285714,15.75714286,75.72857143,0,2021,7,26,0,27113,24130
36,Choice Domestic,21.38571429,16.05714286,71.95714286,0,2021,7,27,0,24037,21581
37,Choice Domestic,22.58571429,16.87142857,70.45714286,0,2021,7,28,0,23136,20602
38,Choice Domestic,22.84285714,17.3,71.32857143,0,2021,7,29,0,23274,20425
39,Choice Domestic,21.87142857,17.3,75.87142857,0,2021,8,30,0,20873,16874
40,Choice Domestic,21.01428571,16.11428571,74.21428571,0,2021,8,31,0,24701,20685
41,Choice Domestic,23.52857143,17.9,71.67142857,0.670142857,2021,8,32,0,2996,2800
42,Choice Domestic,22.9,16.97142857,69.42857143,0,2021,8,33,0,0,682
43,Choice Domestic,22.58571429,17.41428571,73.12857143,0,2021,8,34,0,0,968
44,Choice Domestic,22.32857143,16.32857143,69.54285714,0,2021,9,35,0,0,749
45,Choice Domestic,23.5,18.37142857,73.62857143,0,2021,9,36,0,0,957
